datetime,label,direction,id,x,y,w,h,Color,ColorConf,Type,TypeConf
2019-06-14 02:02:06.300000,line1,up,2718,344,207,39,33,Blue,0.44,Car,0.76
2019-06-14 02:02:07.100000,line2,up,2806,461,442,85,72,Black,0.52,Car,0.59
2019-06-14 02:02:07.300000,line2,down,2634,597,351,141,142,Blue,0.39,BigBus,0.42
2019-06-14 02:02:07.700000,line1,up,2762,347,205,37,31,White,0.52,Car,0.62
2019-06-14 02:02:08.500000,line1,down,2770,408,199,33,35,Blue,0.62,Car,0.48
2019-06-14 02:02:08.900000,line2,down,2878,650,425,89,75,White,0.52,SmallTruck,0.74
2019-06-14 02:02:09.200000,line1,up,2858,350,210,35,31,Gray,0.44,Car,0.56
2019-06-14 02:02:09.400000,line1,down,2826,414,200,39,36,Blue,0.8,Car,0.43
2019-06-14 02:02:09.500000,line2,up,2882,512,386,102,97,White,0.91,Van,0.76
2019-06-14 02:02:09.600000,line1,up,2806,316,211,32,31,Blue,0.43,Car,0.61
2019-06-14 02:02:10.400000,line1,down,2866,414,204,35,33,Blue,0.27,Car,0.39
2019-06-14 02:02:10.500000,line2,up,2918,465,444,74,63,White,0.3,SUV,0.47
2019-06-14 02:02:10.800000,line1,down,2890,493,272,31,34,Blue,0.4,Car,0.32
2019-06-14 02:02:11.100000,line2,down,2910,657,419,73,70,Blue,0.53,SmallTruck,0.41
2019-06-14 02:02:11.700000,line1,up,2882,335,191,47,45,White,0.62,Van,0.32
2019-06-14 02:02:12,line2,down,2950,678,436,72,67,Blue,0.95,SmallTruck,0.64
2019-06-14 02:02:12.400000,line2,down,2826,692,449,63,63,Blue,0.84,SmallTruck,0.3
2019-06-14 02:02:12.800000,line1,up,2942,353,201,34,35,Yellow,0.62,SUV,0.32
2019-06-14 02:02:13,line1,up,2918,316,213,33,31,White,0.47,Car,0.41
2019-06-14 02:02:13.100000,line2,up,3014,533,422,85,72,White,0.39,SUV,0.58
2019-06-14 02:02:15.400000,line1,up,3014,353,204,35,29,White,0.42,SUV,0.55
2019-06-14 02:02:15.500000,line1,up,3030,301,180,45,62,White,0.71,SmallTruck,0.53
2019-06-14 02:02:15.500000,line1,down,3026,404,198,34,35,Blue,0.73,Car,0.5
2019-06-14 02:02:17.600000,line1,up,3058,346,195,44,45,Green,0.61,Car,0.48
2019-06-14 02:02:17.900000,line1,up,3054,316,208,32,36,Yellow,0.35,SmallTruck,0.35
2019-06-14 02:02:18.200000,line1,down,3070,438,189,47,36,Blue,0.9,Car,0.29
2019-06-14 02:02:18.400000,line2,up,3118,550,439,75,67,White,0.93,Car,0.48
